ID,Churn
844,0
845,1
846,0
847,0
848,0
849,1
850,0
851,0
852,0
853,1
854,1
855,0
856,0
857,1
858,1
859,1
860,1
861,0
862,1
863,0
864,1
865,0
866,0
867,1
868,1
869,0
870,0
871,1
872,0
873,0
874,1
875,0
876,1
877,0
878,1
879,1
880,0
881,0
882,0
883,0
884,0
885,0
886,1
887,0
888,1
889,1
890,0
891,1
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,1
900,0
901,1
902,0
903,0
904,1
905,0
906,0
907,0
908,0
909,1
910,1
911,0
912,0
913,0
914,0
915,1
916,1
917,0
918,1
919,1
920,0
921,1
922,1
923,1
924,0
925,0
926,0
927,1
928,0
929,0
930,0
931,1
932,0
933,1
934,0
935,1
936,0
937,1
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,1
950,0
951,0
952,0
953,1
954,0
955,0
956,0
957,0
958,0
959,1
960,1
961,1
962,0
963,1
964,1
965,1
966,0
967,0
968,0
969,0
970,0
971,1
972,0
973,1
974,1
975,0
976,1
977,0
978,0
979,1
980,0
981,1
982,1
983,0
984,0
985,0
986,0
987,1
988,0
989,1
990,0
991,1
992,1
993,0
994,0
995,1
996,0
997,1
998,1
999,0
1000,0
1001,0
1002,0
1003,1
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,0
1011,0
1012,1
1013,0
1014,1
1015,1
1016,1
1017,0
1018,0
1019,1
1020,0
1021,1
1022,1
1023,0
1024,1
1025,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,1
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,1
1043,0
1044,1
1045,0
1046,0
1047,1
1048,1
1049,1
1050,0
1051,0
1052,0
1053,1
1054,0
1055,1
1056,0
1057,0
1058,0
1059,0
1060,1
1061,1
1062,1
1063,0
1064,1
1065,1
1066,0
1067,1
1068,0
1069,0
1070,0
1071,0
1072,1
1073,1
1074,1
1075,0
1076,1
1077,1
1078,0
1079,0
1080,0
1081,1
1082,1
1083,0
1084,1
1085,1
1086,1
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,1
1095,0
1096,0
1097,1
1098,1
1099,0
1100,0
1101,1
1102,1
1103,0
1104,1
1105,0
1106,0
1107,1
1108,0
1109,0
1110,1
1111,1
1112,0
1113,1
1114,0
1115,0
1116,0
1117,0
1118,0
1119,1
1120,1
1121,0
1122,0
1123,0
1124,0
1125,1
1126,0
1127,0
1128,1
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,1
1137,0
1138,0
1139,1
1140,0
1141,0
1142,1
1143,0
1144,0
1145,1
1146,1
1147,0
1148,1
1149,0
1150,1
1151,1
1152,1
1153,0
1154,0
1155,0
1156,1
1157,1
1158,0
1159,1
1160,0
1161,1
1162,0
1163,1
1164,1
1165,0
1166,0
1167,0
1168,0
1169,0
1170,1
1171,0
1172,0
1173,0
1174,1
1175,1
1176,1
1177,0
1178,0
1179,0
1180,1
1181,0
1182,1
1183,0
1184,0
1185,0
1186,0
1187,1
1188,0
1189,0
1190,0
1191,0
1192,0
1193,1
1194,0
1195,1
1196,0
1197,0
1198,1
1199,0
1200,0
1201,1
1202,0
1203,1
1204,0
1205,0
1206,0
1207,0
1208,0
1209,1
1210,0
1211,0
1212,0
1213,0
1214,0
1215,1
1216,1
1217,1
1218,1
1219,0
1220,0
1221,0
1222,1
1223,0
1224,0
1225,0
1226,0
1227,1
1228,0
1229,1
1230,0
1231,1
1232,0
1233,0
1234,1
1235,0
1236,1
1237,0
1238,1
1239,0
1240,0
1241,0
1242,0
1243,1
1244,0
1245,1
1246,0
1247,1
1248,1
1249,0
1250,1
1251,0
1252,1
1253,0
1254,0
1255,0
1256,1
1257,0
1258,1
1259,0
1260,0
1261,1
1262,0
1263,0
1264,0
1265,0
1266,1
1267,0
1268,0
1269,0
1270,1
1271,1
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,1
1279,0
1280,0
1281,0
1282,0
1283,0
1284,1
1285,0
1286,0
1287,0
1288,0
1289,1
1290,0
1291,0
1292,0
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1299,1
1300,1
1301,0
1302,1
1303,1
1304,1
1305,0
1306,0
1307,0
1308,1
1309,0
1310,1
1311,0
1312,0
1313,0
1314,0
1315,0
1316,1
1317,0
1318,1
1319,0
1320,0
1321,0
1322,0
1323,1
1324,1
1325,0
1326,1
1327,0
1328,0
1329,0
1330,0
1331,1
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,1
1339,0
1340,0
1341,0
1342,1
1343,1
1344,0
1345,0
1346,1
1347,0
1348,1
1349,1
1350,1
1351,0
1352,1
1353,0
1354,0
1355,0
1356,1
1357,0
1358,0
1359,1
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,1
1367,0
1368,1
1369,1
1370,0
1371,0
1372,0
1373,1
1374,1
1375,0
1376,0
1377,0
1378,1
1379,0
1380,1
1381,0
1382,0
1383,0
1384,1
1385,0
1386,1
1387,1
1388,1
1389,0
1390,0
1391,0
1392,1
1393,1
1394,0
1395,1
1396,0
1397,0
1398,0
1399,1
1400,1
1401,0
1402,1
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,1
1410,0
1411,0
1412,1
1413,1
1414,0
1415,1
1416,0
1417,0
1418,1
1419,0
1420,1
1421,0
1422,0
1423,1
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,1
1431,0
1432,0
1433,0
1434,0
1435,0
1436,1
1437,1
1438,0
1439,0
1440,1
1441,1
1442,0
1443,1
1444,0
1445,0
1446,1
1447,0
1448,0
1449,1
1450,0
1451,0
1452,1
1453,0
1454,0
1455,0
1456,1
1457,1
1458,0
1459,1
1460,0
1461,1
1462,0
1463,0
1464,1
1465,0
1466,0
1467,0
1468,1
1469,1
1470,0
1471,0
1472,0
1473,0
1474,1
1475,0
1476,0
1477,1
1478,0
1479,1
1480,0
1481,1
1482,0
1483,0
1484,0
1485,1
1486,1
1487,0
1488,1
1489,1
1490,0
1491,0
1492,1
1493,0
1494,1
1495,1
1496,0
1497,0
1498,1
1499,1
1500,0
1501,1
1502,1
1503,1
1504,0
1505,0
1506,1
1507,1
1508,0
1509,0
1510,1
1511,0
1512,0
1513,0
1514,0
1515,0
1516,1
1517,1
1518,1
1519,0
1520,1
1521,1
1522,1
1523,0
1524,1
1525,1
1526,1
1527,1
1528,0
1529,1
1530,0
1531,1
1532,1
1533,1
1534,1
1535,1
1536,1
1537,1
1538,1
1539,0
1540,1
1541,0
1542,1
1543,0
1544,0
1545,1
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,1
1553,1
1554,0
1555,1
1556,1
1557,1
1558,0
1559,1
1560,1
1561,0
1562,0
1563,0
1564,0
1565,1
1566,0
1567,1
1568,1
1569,1
1570,1
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,0
1579,1
1580,1
1581,0
1582,0
1583,0
1584,0
1585,0
1586,1
1587,1
1588,0
1589,0
1590,0
1591,1
1592,0
1593,1
1594,1
1595,0
1596,0
1597,0
1598,0
1599,1
1600,0
1601,1
1602,0
1603,1
1604,1
1605,0
1606,1
1607,1
1608,0
1609,0
1610,1
1611,0
1612,1
1613,1
1614,0
1615,1
1616,1
1617,0
1618,0
1619,1
1620,0
1621,0
1622,1
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,1
1634,0
1635,1
1636,1
1637,0
1638,0
1639,0
1640,0
1641,0
1642,0
1643,1
1644,1
1645,0
1646,0
1647,0
1648,1
1649,1
1650,0
1651,0
1652,1
1653,0
1654,0
1655,0
1656,1
1657,0
1658,0
1659,1
1660,0
1661,0
1662,0
1663,0
1664,1
1665,1
1666,0
1667,0
1668,0
1669,0
1670,0
1671,1
1672,0
1673,1
1674,0
1675,1
1676,0
1677,1
1678,0
1679,1
1680,0
1681,1
1682,0
1683,1
1684,0
1685,1
1686,0
1687,1
1688,0
1689,1
1690,0
1691,0
1692,0
1693,0
1694,0
1695,0
1696,1
1697,1
1698,1
1699,1
1700,0
1701,1
1702,0
1703,1
1704,0
1705,0
1706,0
1707,0
1708,0
1709,0
1710,0
1711,1
1712,0
1713,0
1714,0
1715,1
1716,1
1717,0
1718,0
1719,1
1720,0
1721,0
1722,0
1723,1
1724,0
1725,0
1726,1
1727,1
1728,1
1729,0
1730,0
1731,0
1732,1
1733,1
1734,1
1735,0
1736,0
1737,0
1738,0
1739,0
1740,0
1741,1
1742,0
1743,0
1744,0
1745,1
1746,1
1747,0
1748,1
1749,0
1750,0
1751,0
1752,0
1753,0
1754,1
1755,0
1756,1
1757,1
1758,1
1759,0
1760,1
1761,1
1762,1
1763,1
1764,0
1765,1
1766,1
1767,1
1768,0
1769,0
1770,0
1771,1
1772,1
1773,0
1774,0
1775,0
1776,0
1777,1
1778,0
1779,1
1780,1
1781,1
1782,1
1783,0
1784,1
1785,0
1786,0
1787,1
1788,0
1789,0
1790,0
1791,1
1792,0
1793,0
1794,1
1795,0
1796,0
1797,1
1798,1
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,1
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,1
1813,0
1814,0
1815,0
1816,0
1817,0
1818,0
1819,1
1820,1
1821,0
1822,0
1823,0
1824,0
1825,0
1826,0
1827,1
1828,1
1829,0
1830,1
1831,1
1832,0
1833,0
1834,0
1835,1
1836,1
1837,0
1838,1
1839,0
1840,0
1841,0
1842,1
1843,0
1844,1
1845,0
1846,0
1847,0
1848,0
1849,1
1850,0
1851,1
1852,1
1853,0
1854,0
1855,0
1856,1
1857,1
1858,1
1859,0
1860,1
1861,0
1862,0
1863,1
1864,0
1865,1
1866,1
1867,0
1868,0
1869,0
1870,1
1871,1
1872,1
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,1
1887,1
1888,0
1889,1
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,1
1898,1
1899,1
1900,1
1901,0
1902,1
1903,1
1904,0
1905,0
1906,1
1907,1
1908,1
1909,1
1910,0
1911,0
1912,0
1913,1
1914,0
1915,0
1916,0
1917,0
1918,0
1919,1
1920,0
1921,0
1922,1
1923,1
1924,0
1925,0
1926,0
1927,0
1928,0
1929,1
1930,1
1931,0
1932,1
1933,1
1934,0
1935,1
1936,0
1937,1
1938,0
1939,0
1940,1
1941,0
1942,0
1943,0
1944,1
1945,0
1946,1
1947,1
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,1
1961,0
1962,0
1963,1
1964,1
1965,0
1966,0
1967,1
1968,1
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,1
1976,0
1977,0
1978,1
1979,1
1980,0
1981,1
1982,0
1983,0
1984,0
1985,0
1986,1
1987,0
1988,1
1989,0
1990,1
1991,1
1992,1
1993,1
1994,0
1995,1
1996,0
1997,0
1998,1
1999,0
2000,0
2001,0
2002,0
2003,0
2004,1
2005,1
2006,1
2007,1
2008,1
2009,0
2010,0
2011,1
2012,0
2013,0
2014,0
2015,0
2016,1
2017,0
2018,0
2019,1
2020,1
2021,1
2022,1
2023,0
2024,0
2025,0
2026,0
2027,0
2028,1
2029,0
2030,0
2031,0
2032,1
2033,0
2034,0
2035,0
2036,1
2037,0
2038,0
2039,0
2040,0
2041,1
2042,0
2043,1
2044,0
2045,1
2046,0
2047,1
2048,0
2049,0
2050,1
2051,0
2052,1
2053,1
2054,0
2055,1
2056,0
2057,0
2058,0
2059,0
2060,1
2061,1
2062,0
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,1
2070,0
2071,1
2072,0
2073,0
2074,0
2075,0
2076,1
2077,0
2078,0
2079,1
2080,1
2081,0
2082,0
2083,0
2084,1
2085,1
2086,0
2087,1
2088,0
2089,0
2090,1
2091,0
2092,0
2093,0
2094,1
2095,1
2096,0
2097,1
2098,0
2099,0
2100,1
2101,0
2102,0
2103,1
2104,0
2105,1
2106,0
2107,1
2108,0
2109,1
2110,1
2111,0
2112,1
2113,0
